userId	score	correct part of questions	total number of questions
1	0.890327894571575	0.875	120
2	0.6662636076790232	1.0	2
3	0.9620140795807463	0.9666666666666667	150
4	0.9645561733793546	0.9733333333333334	150
6	0.9542128525215243	0.94	50
7	0.9596194350816302	0.96	100
8	0.9480948384287926	0.96875	32
9	0.7476866066855209	0.7466666666666667	150
10	0.970133118892136	0.9866666666666667	150
11	0.89125	1.0	3
12	0.9753470455092513	1.0	106
13	0.9403497258990459	0.927536231884058	138
14	0.9672731381368092	0.9857142857142858	70
15	0.9725433333333333	0.98	50
16	0.9666245482292346	0.9538461538461539	130
17	0.9440188238077485	0.9071428571428571	140
18	0.9626234330589427	0.9354838709677419	62
19	0.91677293997669	0.96	50
20	0.9779837024291059	0.99	100
21	0.9389044566544568	1.0	21
22	0.9541510056628385	0.975	80
23	0.9605161446705931	0.9797297297297297	148
24	0.9574531571755857	0.9583333333333334	120
25	0.9345500098156572	0.92	150
26	0.9596484860248446	1.0	41
27	0.9270393965808404	0.96	100
28	0.9687118738543194	0.9833333333333333	120
29	0.9288339518072721	0.9545454545454546	110
30	0.9023905239031133	0.9125	80
31	0.8761912845385067	0.8888888888888888	18
32	0.9160892857142856	0.9333333333333333	30
33	0.9576920070411793	0.990909090909091	110
34	0.8809313421621113	0.9	40
35	0.933889656945442	0.9508196721311475	122
36	0.9380177771235763	0.94	150
37	0.9690711072628341	0.9666666666666667	150
38	0.8676081262939958	0.925	40
39	0.9690519543444117	0.9545454545454546	44
40	0.922209956006831	0.9466666666666667	150
41	0.9603077380952382	0.975	40
42	0.9099114210619311	0.88	50
43	0.8848267543859648	0.9210526315789473	38
44	0.8937522177276628	0.9166666666666666	60
45	0.9652984502203875	0.9664429530201343	149
46	0.9553032820120588	0.975	40
47	0.9812390672428873	1.0	32
48	0.6623979933110369	1.0	1
49	0.9012646825396825	1.0	10
50	0.957694506740425	0.92	50
51	0.9610899014778326	1.0	29
52	0.9850114942528736	0.9666666666666667	30
53	0.9299561403508771	1.0	20
54	0.9542250969801389	0.96	150
55	0.8504392289739958	0.8333333333333334	150
56	0.8657307692307693	0.9090909090909091	11
57	0.9567045703965179	0.95	140
58	0.8602642846819795	0.8266666666666667	150
59	0.961031746031746	0.7142857142857143	7
60	0.9576890405955834	0.96	150
61	0.8578750000000002	0.5	2
62	0.9248439728548424	0.9571428571428572	70
63	0.9257872245349362	0.9714285714285714	70
64	0.9174843524531024	1.0	40
65	0.9048458431544301	0.9	50
66	0.9223193972693974	0.9	10
67	0.9530829000735349	0.9571428571428572	70
68	0.9337363636363637	0.9	10
69	0.9362202694362829	0.9166666666666666	60
70	0.933214880952381	1.0	20
71	0.9352334682719307	0.9666666666666667	30
72	0.9093973993178538	0.9545454545454546	22
73	0.9622921384179006	0.9777777777777777	90
74	0.9359083333333335	1.0	10
75	0.7939087301587303	0.8181818181818182	11
76	0.938257399863511	0.9666666666666667	90
77	0.9422499999999999	0.95	20
78	0.9739737276939092	0.9733333333333334	150
79	0.9639457267703145	0.9666666666666667	30
80	0.9531454495152002	0.9625	80
81	0.950530119788075	0.95	60
82	0.9649000000000001	1.0	5
83	0.9220184276834277	0.9166666666666666	60
84	0.9789163487419092	0.990909090909091	110
85	0.9619530303030303	0.95	20
86	0.9431833333333334	1.0	10
87	0.9364468224905135	0.925	40
88	0.9525218216996244	0.9375	80
89	0.9059625769755112	0.8866666666666667	150
90	0.9782478923294974	0.9866666666666667	150
91	0.9761515667027837	1.0	25
93	0.9737534884931531	0.9933333333333333	150
94	0.9517070132358064	0.9642857142857143	56
95	0.9510521449184879	0.9666666666666667	150
96	0.9763241790602879	0.9933333333333333	150
97	0.9163957806654205	0.9428571428571428	70
98	0.9656679425249319	0.98	150
99	0.9460103030055064	0.9545454545454546	110
100	0.9642228793108572	0.9733333333333334	150
101	0.9737422825855181	0.9733333333333334	150
102	0.9619683341072243	0.96	150
103	0.9642064675873648	0.96	150
104	0.9856211689159741	0.9933333333333333	150
105	0.9717191520241283	0.9733333333333334	150
106	0.9670700491755772	0.96	150
107	0.9824537039865019	0.9864864864864865	148
109	0.978289765460761	0.9857142857142858	140
110	0.8972690898936906	0.9241379310344827	145
111	0.9565650406504066	0.95	20
112	0.9672786729311695	0.96	150
113	0.9588113688914598	0.96	150
114	0.9791571449745906	1.0	50
115	0.9796562004829772	0.9933333333333333	150
116	0.7936870281459834	0.9	10
117	0.9695423868191184	0.9666666666666667	150
118	0.4686531338563613	0.46	150
